"_MODEL_";"_STATUS_VARIANT_"
22775;"Сорт 1"
25880;"Сорт 1"
26107;"Сорт 1"
26109;"Сорт 1"
26113;"Сорт 1"
26216;"Сорт 1"
26217;"Сорт 1"
26298;"Сорт 1"
26571;"Сорт 1"
26837;"Сорт 1"
26845;"Сорт 1"
26907;"Сорт 1"
26921;"Сорт 1"
26926;"Сорт 1"
26964;"Сорт 1"
26977;"Сорт 1"
26989;"Сорт 1"
27034;"Сорт 1"
27091;"Сорт 1"
27111;"Сорт 1"
27112;"Сорт 1"
27113;"Сорт 1"
27115;"Сорт 1"
27116;"Сорт 1"
27157;"Сорт 1"
27270;"Сорт 1"
27271;"Сорт 1"
27277;"Сорт 1"
27422;"Сорт 1"
27865;"Сорт 1"
27866;"Сорт 1"
27870;"Сорт 1"
27872;"Сорт 1"
27873;"Сорт 1"
27874;"Сорт 1"
27876;"Сорт 1"
27877;"Сорт 1"
27884;"Сорт 1"
27983;"Сорт 1"
27985;"Сорт 1"
28005;"Сорт 1"
28007;"Сорт 1"
28017;"Сорт 1"
28022;"Сорт 1"
28274;"Сорт 1"
28396;"Сорт 1"
28397;"Сорт 1"
28399;"Сорт 1"
28400;"Сорт 1"
28500;"Сорт 1"
28518;"Сорт 1"
28528;"Сорт 1"
28624;"Сорт 1"
28642;"Сорт 1"
28657;"Сорт 1"
28729;"Сорт 1"
28734;"Сорт 1"
28822;"Сорт 1"
28824;"Сорт 1"
28829;"Сорт 1"
28830;"Сорт 1"
28831;"Сорт 1"
28832;"Сорт 1"
28928;"Сорт 1"
29030;"Сорт 1"
29031;"Сорт 1"
29036;"Сорт 1"
29038;"Сорт 1"
29045;"Сорт 1"
29557;"Сорт 1"
29567;"Сорт 1"
29568;"Сорт 1"
29569;"Сорт 1"
31472;"Сорт 1"
32311;"Сорт 1"
32336;"Сорт 1"
32358;"Сорт 1"
32364;"Сорт 1"
32370;"Сорт 1"
32393;"Сорт 1"
32400;"Сорт 1"
32401;"Сорт 1"
32420;"Сорт 1"
32848;"Сорт 1"
32849;"Сорт 1"
32862;"Сорт 1"
32938;"Сорт 1"
32956;"Сорт 1"
33028;"Сорт 1"
33033;"Сорт 1"
33034;"Сорт 1"
33037;"Сорт 1"
33101;"Сорт 1"
33102;"Сорт 1"
33253;"Сорт 1"
33258;"Сорт 1"
33351;"Сорт 1"
33432;"Сорт 1"
33682;"Сорт 1"
33699;"Сорт 1"
33990;"Сорт 1"
33998;"Сорт 1"
34255;"Сорт 1"
34427;"Сорт 1"
34430;"Сорт 1"
34432;"Сорт 1"
34433;"Сорт 1"
34435;"Сорт 1"
34443;"Сорт 1"
35172;"Сорт 1"
35176;"Сорт 1"
35178;"Сорт 1"
35179;"Сорт 1"
35680;"Сорт 1"
41735;"Сорт 1"
42041;"Сорт 1"
42187;"Сорт 1"
42298;"Сорт 1"
42568;"Сорт 1"
42586;"Сорт 1"
43002;"Сорт 1"
43055;"Сорт 1"
43097;"Сорт 1"
43239;"Сорт 1"
43471;"Сорт 1"
43526;"Сорт 1"
44039;"Сорт 1"
44050;"Сорт 1"
44054;"Сорт 1"
44147;"Сорт 1"
44183;"Сорт 1"
45327;"Сорт 1"
45414;"Сорт 1"
45416;"Сорт 1"
45417;"Сорт 1"
45546;"Сорт 1"
45750;"Сорт 1"
45779;"Сорт 1"
45938;"Сорт 1"
46471;"Сорт 1"
46733;"Сорт 1"
47032;"Сорт 1"
47216;"Сорт 1"
48461;"Сорт 1"
48496;"Сорт 1"
48512;"Сорт 1"
48514;"Сорт 1"
48517;"Сорт 1"
48519;"Сорт 1"
49072;"Сорт 1"
49075;"Сорт 1"
49207;"Сорт 1"
49208;"Сорт 1"
49211;"Сорт 1"
49408;"Сорт 1"
49633;"Сорт 1"
49891;"Сорт 1"
49892;"Сорт 1"
49905;"Сорт 1"
50048;"Сорт 1"
50059;"Сорт 1"
50437;"Сорт 1"
50439;"Сорт 1"
50911;"Сорт 1"
52329;"Сорт 1"
52330;"Сорт 1"
52333;"Сорт 1"
52334;"Сорт 1"
52337;"Сорт 1"
52345;"Сорт 1"
52352;"Сорт 1"
52356;"Сорт 1"
52491;"Сорт 1"
52575;"Сорт 1"
52581;"Сорт 1"
52583;"Сорт 1"
52804;"Сорт 1"
52883;"Сорт 1"
52985;"Сорт 1"
53003;"Сорт 1"
53060;"Сорт 1"
53087;"Сорт 1"
53321;"Сорт 1"
53323;"Сорт 1"
53329;"Сорт 1"
53331;"Сорт 1"
53556;"Сорт 1"
53584;"Сорт 1"
53664;"Сорт 1"
54448;"Сорт 1"
54616;"Сорт 1"
54617;"Сорт 1"
54618;"Сорт 1"
54619;"Сорт 1"
54791;"Сорт 1"
54810;"Сорт 1"
54842;"Сорт 1"
55215;"Сорт 1"
55258;"Сорт 1"
55261;"Сорт 1"
55322;"Сорт 1"
55365;"Сорт 1"
55366;"Сорт 1"
55537;"Сорт 1"
55540;"Сорт 1"
55806;"Сорт 1"
56215;"Сорт 1"
56267;"Сорт 1"
56724;"Сорт 1"
57115;"Сорт 1"
57118;"Сорт 1"
57134;"Сорт 1"
57139;"Сорт 1"
57478;"Сорт 1"
57479;"Сорт 1"
57491;"Сорт 1"
57735;"Сорт 1"
57756;"Сорт 1"
57757;"Сорт 1"
57759;"Сорт 1"
57760;"Сорт 1"
57761;"Сорт 1"
57762;"Сорт 1"
57763;"Сорт 1"
57921;"Сорт 1"
57982;"Сорт 1"
57993;"Сорт 1"
58039;"Сорт 1"
58269;"Сорт 1"
58777;"Сорт 1"
58807;"Сорт 1"
59002;"Сорт 1"
59015;"Сорт 1"
59041;"Сорт 1"
59042;"Сорт 1"
59044;"Сорт 1"
59047;"Сорт 1"
59049;"Сорт 1"
59448;"Сорт 1"
59454;"Сорт 1"
59456;"Сорт 1"
59457;"Сорт 1"
59460;"Сорт 1"
59461;"Сорт 1"
59462;"Сорт 1"
59471;"Сорт 1"
59486;"Сорт 1"
59616;"Сорт 1"
59624;"Сорт 1"
59738;"Сорт 1"
59743;"Сорт 1"
59747;"Сорт 1"
59755;"Сорт 1"
59759;"Сорт 1"
60048;"Сорт 1"
60054;"Сорт 1"
60056;"Сорт 1"
60105;"Сорт 1"
60891;"Сорт 1"
60902;"Сорт 1"
60903;"Сорт 1"
60911;"Сорт 1"
61464;"Сорт 1"
61505;"Сорт 1"
62122;"Сорт 1"
62125;"Сорт 1"
62131;"Сорт 1"
62215;"Сорт 1"
62216;"Сорт 1"
62257;"Сорт 1"
62258;"Сорт 1"
62259;"Сорт 1"
62272;"Сорт 1"
62342;"Сорт 1"
62346;"Сорт 1"
62347;"Сорт 1"
62464;"Сорт 1"
62525;"Сорт 1"
62541;"Сорт 1"
62818;"Сорт 1"
62832;"Сорт 1"
62879;"Сорт 1"
62993;"Сорт 1"
63374;"Сорт 1"
63376;"Сорт 1"
63378;"Сорт 1"
63438;"Сорт 1"
63723;"Сорт 1"
63936;"Сорт 1"
63939;"Сорт 1"
63940;"Сорт 1"
63943;"Сорт 1"
64540;"Сорт 1"
64674;"Сорт 1"
64676;"Сорт 1"
64708;"Сорт 1"
64722;"Сорт 1"
64880;"Сорт 1"
65104;"Сорт 1"
65107;"Сорт 1"
65108;"Сорт 1"
65204;"Сорт 1"
65205;"Сорт 1"
65210;"Сорт 1"
65293;"Сорт 1"
65296;"Сорт 1"
65365;"Сорт 1"
65366;"Сорт 1"
65374;"Сорт 1"
65429;"Сорт 1"
65934;"Сорт 1"
66295;"Сорт 1"
66299;"Сорт 1"
66400;"Сорт 1"
67128;"Сорт 1"
67166;"Сорт 1"
67172;"Сорт 1"
67245;"Сорт 1"
67260;"Сорт 1"
67262;"Сорт 1"
67291;"Сорт 1"
67385;"Сорт 1"
67392;"Сорт 1"
67433;"Сорт 1"
67679;"Сорт 1"
67681;"Сорт 1"
67682;"Сорт 1"
67684;"Сорт 1"
67928;"Сорт 1"
68284;"Сорт 1"
68382;"Сорт 1"
68394;"Сорт 1"
68512;"Сорт 1"
68517;"Сорт 1"
68533;"Сорт 1"
68685;"Сорт 1"
68851;"Сорт 1"
68998;"Сорт 1"
69401;"Сорт 1"
69419;"Сорт 1"
69704;"Сорт 1"
69712;"Сорт 1"
69772;"Сорт 1"
70049;"Сорт 1"
70851;"Сорт 1"
70869;"Сорт 1"
70871;"Сорт 1"
70872;"Сорт 1"
70873;"Сорт 1"
71111;"Сорт 1"
71112;"Сорт 1"
71464;"Сорт 1"
71469;"Сорт 1"
71750;"Сорт 1"
71752;"Сорт 1"
71753;"Сорт 1"
71755;"Сорт 1"
71756;"Сорт 1"
71758;"Сорт 1"
71763;"Сорт 1"
71905;"Сорт 1"
72078;"Сорт 1"
72095;"Сорт 1"
72238;"Сорт 1"
72245;"Сорт 1"
72312;"Сорт 1"
72371;"Сорт 1"
72536;"Сорт 1"
72562;"Сорт 1"
72567;"Сорт 1"
72577;"Сорт 1"
72924;"Сорт 1"
73052;"Сорт 1"
73151;"Сорт 1"
73154;"Сорт 1"
73155;"Сорт 1"
73296;"Сорт 1"
73297;"Сорт 1"
73298;"Сорт 1"
73299;"Сорт 1"
73300;"Сорт 1"
73301;"Сорт 1"
73302;"Сорт 1"
73305;"Сорт 1"
73510;"Сорт 1"
73887;"Сорт 1"
74053;"Сорт 1"
74568;"Сорт 1"
74569;"Сорт 1"
74570;"Сорт 1"
74572;"Сорт 1"
74573;"Сорт 1"
74574;"Сорт 1"
74575;"Сорт 1"
74576;"Сорт 1"
74577;"Сорт 1"
75091;"Сорт 1"
75220;"Сорт 1"
75222;"Сорт 1"
75261;"Сорт 1"
75268;"Сорт 1"
75269;"Сорт 1"
75270;"Сорт 1"
75278;"Сорт 1"
75280;"Сорт 1"
75282;"Сорт 1"
75283;"Сорт 1"
75284;"Сорт 1"
75285;"Сорт 1"
75287;"Сорт 1"
75292;"Сорт 1"
75512;"Сорт 1"
75513;"Сорт 1"
75515;"Сорт 1"
75519;"Сорт 1"
75520;"Сорт 1"
75521;"Сорт 1"
75522;"Сорт 1"
75523;"Сорт 1"
75758;"Сорт 1"
75787;"Сорт 1"
75793;"Сорт 1"
75794;"Сорт 1"
76053;"Сорт 1"
76054;"Сорт 1"
76055;"Сорт 1"
76327;"Сорт 1"
76331;"Сорт 1"
76343;"Сорт 1"
76595;"Сорт 1"
76809;"Сорт 1"
76811;"Сорт 1"
76812;"Сорт 1"
76829;"Сорт 1"
76832;"Сорт 1"
76856;"Сорт 1"
77168;"Сорт 1"
77172;"Сорт 1"
77182;"Сорт 1"
77387;"Сорт 1"
77533;"Сорт 1"
77871;"Сорт 1"
77952;"Сорт 1"
78071;"Сорт 1"
78073;"Сорт 1"
78076;"Сорт 1"
78159;"Сорт 1"
78160;"Сорт 1"
78162;"Сорт 1"
78163;"Сорт 1"
78164;"Сорт 1"
78358;"Сорт 1"
78359;"Сорт 1"
78465;"Сорт 1"
78680;"Сорт 1"
78765;"Сорт 1"
78768;"Сорт 1"
78769;"Сорт 1"
78863;"Сорт 1"
78959;"Сорт 1"
78965;"Сорт 1"
79042;"Сорт 1"
79047;"Сорт 1"
79049;"Сорт 1"
79643;"Сорт 1"
79645;"Сорт 1"
79648;"Сорт 1"
79673;"Сорт 1"
79689;"Сорт 1"
80469;"Сорт 1"
80541;"Сорт 1"
80542;"Сорт 1"
80604;"Сорт 1"
80647;"Сорт 1"
80910;"Сорт 1"
80913;"Сорт 1"
80946;"Сорт 1"
81219;"Сорт 1"
81311;"Сорт 1"
81325;"Сорт 1"
81551;"Сорт 1"
81908;"Сорт 1"
82034;"Сорт 1"
82079;"Сорт 1"
82082;"Сорт 1"
82292;"Сорт 1"
82298;"Сорт 1"
82301;"Сорт 1"
82344;"Сорт 1"
82385;"Сорт 1"
82405;"Сорт 1"
82513;"Сорт 1"
82586;"Сорт 1"
82989;"Сорт 1"
83215;"Сорт 1"
83355;"Сорт 1"
83370;"Сорт 1"
83375;"Сорт 1"
83531;"Сорт 1"
83674;"Сорт 1"
83680;"Сорт 1"
83720;"Сорт 1"
83847;"Сорт 1"
83850;"Сорт 1"
84009;"Сорт 1"
84060;"Сорт 1"
84397;"Сорт 1"
84400;"Сорт 1"
84439;"Сорт 1"
84696;"Сорт 1"
84834;"Сорт 1"
84839;"Сорт 1"
84843;"Сорт 1"
84844;"Сорт 1"
84846;"Сорт 1"
84950;"Сорт 1"
84983;"Сорт 1"
84993;"Сорт 1"
85058;"Сорт 1"
85679;"Сорт 1"
85746;"Сорт 1"
85747;"Сорт 1"
85749;"Сорт 1"
85750;"Сорт 1"
85755;"Сорт 1"
85757;"Сорт 1"
86129;"Сорт 1"
86159;"Сорт 1"
86160;"Сорт 1"
86248;"Сорт 1"
86249;"Сорт 1"
86250;"Сорт 1"
86251;"Сорт 1"
86252;"Сорт 1"
86595;"Сорт 1"
86596;"Сорт 1"
86731;"Сорт 1"
86786;"Сорт 1"
86787;"Сорт 1"
86788;"Сорт 1"
86789;"Сорт 1"
86790;"Сорт 1"
86791;"Сорт 1"
86792;"Сорт 1"
86794;"Сорт 1"
86795;"Сорт 1"
86797;"Сорт 1"
86798;"Сорт 1"
86800;"Сорт 1"
86801;"Сорт 1"
86802;"Сорт 1"
86804;"Сорт 1"
86805;"Сорт 1"
86806;"Сорт 1"
86808;"Сорт 1"
86810;"Сорт 1"
86814;"Сорт 1"
86815;"Сорт 1"
86816;"Сорт 1"
86817;"Сорт 1"
86818;"Сорт 1"
86819;"Сорт 1"
86820;"Сорт 1"
86821;"Сорт 1"
86822;"Сорт 1"
86824;"Сорт 1"
86826;"Сорт 1"
86828;"Сорт 1"
86830;"Сорт 1"
86833;"Сорт 1"
86835;"Сорт 1"
86836;"Сорт 1"
86838;"Сорт 1"
86842;"Сорт 1"
86844;"Сорт 1"
86846;"Сорт 1"
86850;"Сорт 1"
86971;"Сорт 1"
86975;"Сорт 1"
86986;"Сорт 1"
87047;"Сорт 1"
87077;"Сорт 1"
87163;"Сорт 1"
87235;"Сорт 1"
87238;"Сорт 1"
87551;"Сорт 1"
87847;"Сорт 1"
87849;"Сорт 1"
87851;"Сорт 1"
87855;"Сорт 1"
87856;"Сорт 1"
88025;"Сорт 1"
88101;"Сорт 1"
88103;"Сорт 1"
88146;"Сорт 1"
88783;"Сорт 1"
88871;"Сорт 1"
88874;"Сорт 1"
89003;"Сорт 1"
89093;"Сорт 1"
89216;"Сорт 1"
89217;"Сорт 1"
89351;"Сорт 1"
89418;"Сорт 1"
89476;"Сорт 1"
89572;"Сорт 1"
89698;"Сорт 1"
89699;"Сорт 1"
89759;"Сорт 1"
89767;"Сорт 1"
89775;"Сорт 1"
89777;"Сорт 1"
89791;"Сорт 1"
89793;"Сорт 1"
89797;"Сорт 1"
89801;"Сорт 1"
89817;"Сорт 1"
89832;"Сорт 1"
90030;"Сорт 1"
90041;"Сорт 1"
90073;"Сорт 1"
90075;"Сорт 1"
90076;"Сорт 1"
90106;"Сорт 1"
90111;"Сорт 1"
90119;"Сорт 1"
90639;"Сорт 1"
90707;"Сорт 1"
90852;"Сорт 1"
90971;"Сорт 1"
90973;"Сорт 1"
91245;"Сорт 1"
91390;"Сорт 1"
91696;"Сорт 1"
91698;"Сорт 1"
91803;"Сорт 1"
92082;"Сорт 1"
92109;"Сорт 1"
92189;"Сорт 1"
92193;"Сорт 1"
92254;"Сорт 1"
92255;"Сорт 1"
92256;"Сорт 1"
92257;"Сорт 1"
92506;"Сорт 1"
92538;"Сорт 1"
92544;"Сорт 1"
92925;"Сорт 1"
92941;"Сорт 1"
93000;"Сорт 1"
93096;"Сорт 1"
93098;"Сорт 1"
93100;"Сорт 1"
93105;"Сорт 1"
93108;"Сорт 1"
93121;"Сорт 1"
93154;"Сорт 1"
93156;"Сорт 1"
93673;"Сорт 1"
93684;"Сорт 1"
93815;"Сорт 1"
93957;"Сорт 1"
94739;"Сорт 1"
95550;"Сорт 1"
95676;"Сорт 1"
95805;"Сорт 1"
96046;"Сорт 1"
96209;"Сорт 1"
96210;"Сорт 1"
96212;"Сорт 1"
96320;"Сорт 1"
96451;"Сорт 1"
96454;"Сорт 1"
97319;"Сорт 1"
97487;"Сорт 1"
97672;"Сорт 1"
97785;"Сорт 1"
97842;"Сорт 1"
97963;"Сорт 1"
97964;"Сорт 1"
97983;"Сорт 1"
98061;"Сорт 1"
98101;"Сорт 1"
98214;"Сорт 1"
98234;"Сорт 1"
98341;"Сорт 1"
98342;"Сорт 1"
98492;"Сорт 1"
98493;"Сорт 1"
98495;"Сорт 1"
98516;"Сорт 1"
98795;"Сорт 1"
98799;"Сорт 1"
98806;"Сорт 1"
98989;"Сорт 1"
98990;"Сорт 1"
99102;"Сорт 1"
99103;"Сорт 1"
99114;"Сорт 1"
99115;"Сорт 1"
99124;"Сорт 1"
99126;"Сорт 1"
99134;"Сорт 1"
99381;"Сорт 1"
99637;"Сорт 1"
99657;"Сорт 1"
99661;"Сорт 1"
99768;"Сорт 1"
99769;"Сорт 1"
99799;"Сорт 1"
99846;"Сорт 1"
99851;"Сорт 1"
99958;"Сорт 1"
100008;"Сорт 1"
100095;"Сорт 1"
100096;"Сорт 1"
100130;"Сорт 1"
100189;"Сорт 1"
100263;"Сорт 1"
100266;"Сорт 1"
100269;"Сорт 1"
100275;"Сорт 1"
100365;"Сорт 1"
100800;"Сорт 1"
100962;"Сорт 1"
100990;"Сорт 1"
100999;"Сорт 1"
101012;"Сорт 1"
101076;"Сорт 1"
101119;"Сорт 1"
101247;"Сорт 1"
101397;"Сорт 1"
101412;"Сорт 1"
101413;"Сорт 1"
101436;"Сорт 1"
101437;"Сорт 1"
101447;"Сорт 1"
101449;"Сорт 1"
101450;"Сорт 1"
101508;"Сорт 1"
101611;"Сорт 1"
101674;"Сорт 1"
101676;"Сорт 1"
101679;"Сорт 1"
101703;"Сорт 1"
101794;"Сорт 1"
101834;"Сорт 1"
101836;"Сорт 1"
101838;"Сорт 1"
101839;"Сорт 1"
101843;"Сорт 1"
101849;"Сорт 1"
102021;"Сорт 1"
102283;"Сорт 1"
102339;"Сорт 1"
102342;"Сорт 1"
102343;"Сорт 1"
102541;"Сорт 1"
102550;"Сорт 1"
102552;"Сорт 1"
102553;"Сорт 1"
102554;"Сорт 1"
102556;"Сорт 1"
102557;"Сорт 1"
102670;"Сорт 1"
103063;"Сорт 1"
103077;"Сорт 1"
103087;"Сорт 1"
103184;"Сорт 1"
103218;"Сорт 1"
103333;"Сорт 1"
103378;"Сорт 1"
103380;"Сорт 1"
103387;"Сорт 1"
103390;"Сорт 1"
103427;"Сорт 1"
103428;"Сорт 1"
103656;"Сорт 1"
103678;"Сорт 1"
103747;"Сорт 1"
103815;"Сорт 1"
103817;"Сорт 1"
103818;"Сорт 1"
103819;"Сорт 1"
103833;"Сорт 1"
104237;"Сорт 1"
104238;"Сорт 1"
104239;"Сорт 1"
104242;"Сорт 1"
104310;"Сорт 1"
104314;"Сорт 1"
104315;"Сорт 1"
104319;"Сорт 1"
104320;"Сорт 1"
104321;"Сорт 1"
104322;"Сорт 1"
104323;"Сорт 1"
104324;"Сорт 1"
104327;"Сорт 1"
104329;"Сорт 1"
104333;"Сорт 1"
104471;"Сорт 1"
104567;"Сорт 1"
104607;"Сорт 1"
104616;"Сорт 1"
104620;"Сорт 1"
104686;"Сорт 1"
104697;"Сорт 1"
104698;"Сорт 1"
104734;"Сорт 1"
104735;"Сорт 1"
104777;"Сорт 1"
105550;"Сорт 1"
105551;"Сорт 1"
105908;"Сорт 1"
105916;"Сорт 1"
105917;"Сорт 1"
106332;"Сорт 1"
106464;"Сорт 1"
106469;"Сорт 1"
106695;"Сорт 1"
106697;"Сорт 1"
106989;"Сорт 1"
107040;"Сорт 1"
107042;"Сорт 1"
107044;"Сорт 1"
107050;"Сорт 1"
107170;"Сорт 1"
107172;"Сорт 1"
107173;"Сорт 1"
107174;"Сорт 1"
107175;"Сорт 1"
107176;"Сорт 1"
107206;"Сорт 1"
107232;"Сорт 1"
107242;"Сорт 1"
107244;"Сорт 1"
107247;"Сорт 1"
107249;"Сорт 1"
107277;"Сорт 1"
107568;"Сорт 1"
107571;"Сорт 1"
107577;"Сорт 1"
107578;"Сорт 1"
107579;"Сорт 1"
107587;"Сорт 1"
107744;"Сорт 1"
107745;"Сорт 1"
107747;"Сорт 1"
107748;"Сорт 1"
107750;"Сорт 1"
107751;"Сорт 1"
107753;"Сорт 1"
107843;"Сорт 1"
107858;"Сорт 1"
107859;"Сорт 1"
107860;"Сорт 1"
108069;"Сорт 1"
108073;"Сорт 1"
108074;"Сорт 1"
108083;"Сорт 1"
108118;"Сорт 1"
108119;"Сорт 1"
109006;"Сорт 1"
109054;"Сорт 1"
109055;"Сорт 1"
109087;"Сорт 1"
109142;"Сорт 1"
109262;"Сорт 1"
109666;"Сорт 1"
109724;"Сорт 1"
109731;"Сорт 1"
109850;"Сорт 1"
109998;"Сорт 1"
110000;"Сорт 1"
110013;"Сорт 1"
110034;"Сорт 1"
110036;"Сорт 1"
110263;"Сорт 1"
110266;"Сорт 1"
110271;"Сорт 1"
110337;"Сорт 1"
110394;"Сорт 1"
110397;"Сорт 1"
110675;"Сорт 1"
110678;"Сорт 1"
110695;"Сорт 1"
110696;"Сорт 1"
110710;"Сорт 1"
110974;"Сорт 1"
110975;"Сорт 1"
110978;"Сорт 1"
110979;"Сорт 1"
110980;"Сорт 1"
110982;"Сорт 1"
110983;"Сорт 1"
111007;"Сорт 1"
111121;"Сорт 1"
111197;"Сорт 1"
111856;"Сорт 1"
111862;"Сорт 1"
111865;"Сорт 1"
111866;"Сорт 1"
111872;"Сорт 1"
112213;"Сорт 1"
112221;"Сорт 1"
112242;"Сорт 1"
112329;"Сорт 1"
112441;"Сорт 1"
112442;"Сорт 1"
112443;"Сорт 1"
112446;"Сорт 1"
112447;"Сорт 1"
112457;"Сорт 1"
112458;"Сорт 1"
112466;"Сорт 1"
112679;"Сорт 1"
112850;"Сорт 1"
112851;"Сорт 1"
112852;"Сорт 1"
112853;"Сорт 1"
112888;"Сорт 1"
112895;"Сорт 1"
112994;"Сорт 1"
112995;"Сорт 1"
113083;"Сорт 1"
113106;"Сорт 1"
113128;"Сорт 1"
113129;"Сорт 1"
113130;"Сорт 1"
113132;"Сорт 1"
113146;"Сорт 1"
113226;"Сорт 1"
113320;"Сорт 1"
113345;"Сорт 1"
113347;"Сорт 1"
113651;"Сорт 1"
113667;"Сорт 1"
113934;"Сорт 1"
113939;"Сорт 1"
114268;"Сорт 1"
114274;"Сорт 1"
114365;"Сорт 1"
114812;"Сорт 1"
114822;"Сорт 1"
114942;"Сорт 1"
115311;"Сорт 1"
115351;"Сорт 1"
115417;"Сорт 1"
115420;"Сорт 1"
115489;"Сорт 1"
115490;"Сорт 1"
115492;"Сорт 1"
115541;"Сорт 1"
115543;"Сорт 1"
115545;"Сорт 1"
115548;"Сорт 1"
115559;"Сорт 1"
115563;"Сорт 1"
115789;"Сорт 1"
115885;"Сорт 1"
115930;"Сорт 1"
115939;"Сорт 1"
115975;"Сорт 1"
116036;"Сорт 1"
116238;"Сорт 1"
116240;"Сорт 1"
116242;"Сорт 1"
116249;"Сорт 1"
116265;"Сорт 1"
116271;"Сорт 1"
116372;"Сорт 1"
116462;"Сорт 1"
116685;"Сорт 1"
116686;"Сорт 1"
116687;"Сорт 1"
116839;"Сорт 1"
117105;"Сорт 1"
117106;"Сорт 1"
117182;"Сорт 1"
117183;"Сорт 1"
117347;"Сорт 1"
117348;"Сорт 1"
117350;"Сорт 1"
117401;"Сорт 1"
117409;"Сорт 1"
117431;"Сорт 1"
117438;"Сорт 1"
117450;"Сорт 1"
117569;"Сорт 1"
117701;"Сорт 1"
117739;"Сорт 1"
117740;"Сорт 1"
117815;"Сорт 1"
117837;"Сорт 1"
117871;"Сорт 1"
118040;"Сорт 1"
118088;"Сорт 1"
118137;"Сорт 1"
118141;"Сорт 1"
118292;"Сорт 1"
118334;"Сорт 1"
118457;"Сорт 1"
118458;"Сорт 1"
118459;"Сорт 1"
118552;"Сорт 1"
118554;"Сорт 1"
118599;"Сорт 1"
118611;"Сорт 1"
118861;"Сорт 1"
118865;"Сорт 1"
118866;"Сорт 1"
118867;"Сорт 1"
118891;"Сорт 1"
118894;"Сорт 1"
118897;"Сорт 1"
118898;"Сорт 1"
118899;"Сорт 1"
118903;"Сорт 1"
119145;"Сорт 1"
119166;"Сорт 1"
119708;"Сорт 1"
119743;"Сорт 1"
119745;"Сорт 1"
119746;"Сорт 1"
119838;"Сорт 1"
119862;"Сорт 1"
119967;"Сорт 1"
119968;"Сорт 1"
119970;"Сорт 1"
119973;"Сорт 1"
119974;"Сорт 1"
119976;"Сорт 1"
119981;"Сорт 1"
119983;"Сорт 1"
119991;"Сорт 1"
120005;"Сорт 1"
120006;"Сорт 1"
120010;"Сорт 1"
120020;"Сорт 1"
120022;"Сорт 1"
120024;"Сорт 1"
120026;"Сорт 1"
120027;"Сорт 1"
120031;"Сорт 1"
120032;"Сорт 1"
120036;"Сорт 1"
120037;"Сорт 1"
120116;"Сорт 1"
